epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9985,1.11588,4.92949,1.25232,0,0,0,0,1.02892,5.08935,1.15185,9.76e-06,9.76e-06,9.76e-06
2,76.3369,1.15689,4.91892,1.25136,0,0,0,0,1.02191,5.08395,1.1509,2.03293e-05,2.03293e-05,2.03293e-05
3,111.921,1.12278,4.87579,1.23312,0,0,0,0,1.02619,5.07819,1.14826,3.04639e-05,3.04639e-05,3.04639e-05
4,147.995,1.15255,4.82236,1.21623,0,0,0,0,1.02981,5.07221,1.14598,4.01636e-05,4.01636e-05,4.01636e-05
5,183.86,1.15012,4.7854,1.23551,0,0,0,0,1.04276,5.04822,1.14979,4.94285e-05,4.94285e-05,4.94285e-05
6,220.395,1.15056,4.63246,1.23995,0.01645,0.00168,0.00905,0.00842,1.07338,4.99706,1.15481,5.82587e-05,5.82587e-05,5.82587e-05
7,259.435,1.1337,4.53017,1.23652,0.01192,0.00402,0.00821,0.00666,1.10153,4.92907,1.16794,6.6654e-05,6.6654e-05,6.6654e-05
8,307.498,1.15238,4.44565,1.21002,0.00828,0.00559,0.00757,0.00597,1.14173,4.81964,1.18745,7.46145e-05,7.46145e-05,7.46145e-05
9,354.808,1.06431,4.28232,1.21907,0.00842,0.00969,0.00943,0.00732,1.18191,4.66109,1.21043,8.21402e-05,8.21402e-05,8.21402e-05
10,403.537,1.10337,4.2107,1.20596,0.01036,0.02346,0.01252,0.00929,1.19643,4.52544,1.22399,8.9231e-05,8.9231e-05,8.9231e-05
11,451.814,1.10378,4.03339,1.19556,0.00914,0.03943,0.01355,0.00991,1.20767,4.40491,1.23763,9.58871e-05,9.58871e-05,9.58871e-05
12,500.857,1.10469,3.9474,1.21978,0.01578,0.07664,0.0299,0.02399,1.21311,4.29039,1.25148,9.54284e-05,9.54284e-05,9.54284e-05
13,548.735,1.10009,3.95419,1.19751,0.01904,0.09639,0.04174,0.0341,1.22697,4.2102,1.26759,9.30128e-05,9.30128e-05,9.30128e-05
14,596.016,1.07497,3.79573,1.19035,0.01848,0.11371,0.05263,0.042,1.23437,4.13066,1.27642,9.05972e-05,9.05972e-05,9.05972e-05
15,643.019,1.07096,3.79295,1.1967,0.03838,0.12879,0.06849,0.05441,1.24597,4.03995,1.28391,8.81816e-05,8.81816e-05,8.81816e-05
16,689.6,1.0876,3.68758,1.1975,0.02466,0.14621,0.07838,0.0599,1.27076,3.90606,1.30097,8.5766e-05,8.5766e-05,8.5766e-05
