epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8293,1.26381,5.06527,1.29513,0,0,0,0,1.04165,5.08567,1.15066,9.76e-06,9.76e-06,9.76e-06
2,113.683,1.25849,5.02182,1.32102,0,0,0,0,1.0324,5.08391,1.14249,1.86867e-05,1.86867e-05,1.86867e-05
3,169.842,1.19836,4.97657,1.27101,0,0,0,0,1.03538,5.07313,1.13917,2.54394e-05,2.54394e-05,2.54394e-05
4,226.715,1.23988,4.94061,1.29994,0,0,0,0,1.03976,5.05964,1.14146,3.00181e-05,3.00181e-05,3.00181e-05
5,283.953,1.2232,4.8261,1.31012,0,0,0,0,1.05625,5.03967,1.15032,3.24227e-05,3.24227e-05,3.24227e-05
6,340.117,1.19088,4.77803,1.27572,0,0,0,0,1.0661,5.01079,1.15285,3.26533e-05,3.26533e-05,3.26533e-05
7,396.483,1.13877,4.72693,1.23873,0.01754,0.00112,0.00933,0.00838,1.07749,4.97711,1.15641,3.07098e-05,3.07098e-05,3.07098e-05
8,451.623,1.18626,4.69224,1.25823,0.01445,0.00313,0.00893,0.00744,1.09297,4.92936,1.16245,2.65923e-05,2.65923e-05,2.65923e-05
9,507.718,1.17952,4.65515,1.27104,0.01119,0.00413,0.00804,0.00643,1.10834,4.87516,1.16887,2.03008e-05,2.03008e-05,2.03008e-05
10,563.874,1.19221,4.58133,1.24135,0.00899,0.00469,0.00723,0.0057,1.11845,4.83668,1.17515,1.18352e-05,1.18352e-05,1.18352e-05
