epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.596,1.11588,4.92949,1.25232,0,0,0,0,1.03652,5.08576,1.15012,9.76e-06,9.76e-06,9.76e-06
2,240.529,1.15689,4.91892,1.25136,0,0,0,0,1.02823,5.08098,1.14789,2.03293e-05,2.03293e-05,2.03293e-05
3,286.077,1.12278,4.87579,1.23312,0,0,0,0,1.03189,5.07538,1.14568,3.04639e-05,3.04639e-05,3.04639e-05
4,328.158,1.15255,4.82236,1.21623,0,0,0,0,1.03427,5.06919,1.14416,4.01636e-05,4.01636e-05,4.01636e-05
5,369.972,1.15012,4.7854,1.23551,0,0,0,0,1.04354,5.04443,1.14763,4.94285e-05,4.94285e-05,4.94285e-05
6,412.468,1.15056,4.63246,1.23995,0.01645,0.00168,0.00905,0.00842,1.07327,4.99483,1.15258,5.82587e-05,5.82587e-05,5.82587e-05
7,454.003,1.1337,4.53017,1.23652,0.01192,0.00402,0.00821,0.00666,1.10245,4.92801,1.1675,6.6654e-05,6.6654e-05,6.6654e-05
8,496.417,1.15238,4.44565,1.21002,0.00828,0.00559,0.00757,0.00597,1.14453,4.81765,1.1882,7.46145e-05,7.46145e-05,7.46145e-05
9,537.638,1.06431,4.28232,1.21907,0.00842,0.00969,0.00943,0.00732,1.18378,4.65626,1.21213,8.21402e-05,8.21402e-05,8.21402e-05
10,578.846,1.10337,4.2107,1.20596,0.01036,0.02346,0.01252,0.00929,1.1991,4.51939,1.22568,8.9231e-05,8.9231e-05,8.9231e-05
11,621.259,1.10378,4.03339,1.19556,0.00914,0.03943,0.01355,0.00991,1.21165,4.39803,1.24031,9.58871e-05,9.58871e-05,9.58871e-05
12,662.955,1.10469,3.9474,1.21978,0.01578,0.07664,0.0299,0.02399,1.21552,4.28879,1.25307,9.54284e-05,9.54284e-05,9.54284e-05
13,703.986,1.10009,3.95419,1.19751,0.01904,0.09639,0.04174,0.0341,1.22797,4.21159,1.26723,9.30128e-05,9.30128e-05,9.30128e-05
14,745.542,1.07497,3.79573,1.19035,0.01848,0.11371,0.05263,0.042,1.23316,4.13402,1.27542,9.05972e-05,9.05972e-05,9.05972e-05
15,787.065,1.07096,3.79295,1.1967,0.03838,0.12879,0.06849,0.05441,1.24532,4.04815,1.28241,8.81816e-05,8.81816e-05,8.81816e-05
16,828.453,1.0876,3.68758,1.1975,0.02466,0.14621,0.07838,0.0599,1.26931,3.91393,1.2981,8.5766e-05,8.5766e-05,8.5766e-05
17,870.211,1.15841,3.61459,1.21553,0.02195,0.16298,0.09365,0.07186,1.26745,3.82889,1.29893,8.33504e-05,8.33504e-05,8.33504e-05
18,911.781,1.0783,3.51078,1.21559,0.02458,0.20323,0.10614,0.08262,1.25983,3.74691,1.29486,8.09348e-05,8.09348e-05,8.09348e-05
19,952.956,1.10729,3.51583,1.21063,0.73389,0.05705,0.11211,0.08857,1.25268,3.68321,1.28971,7.85192e-05,7.85192e-05,7.85192e-05
20,995.067,1.07647,3.40085,1.16659,0.71539,0.06058,0.11167,0.08638,1.25811,3.61578,1.29373,7.61036e-05,7.61036e-05,7.61036e-05
21,1036.62,1.14104,3.36886,1.22599,0.71985,0.06389,0.12322,0.09597,1.26441,3.57926,1.30133,7.3688e-05,7.3688e-05,7.3688e-05
22,1077.99,1.0737,3.201,1.19735,0.69186,0.06596,0.12805,0.10338,1.27215,3.56589,1.31139,7.12724e-05,7.12724e-05,7.12724e-05
23,1119.35,1.15526,3.21013,1.21354,0.71443,0.08613,0.13416,0.10639,1.27842,3.55382,1.31573,6.88568e-05,6.88568e-05,6.88568e-05
24,1160.84,1.10743,3.361,1.19514,0.67477,0.08943,0.15135,0.11991,1.27787,3.51625,1.32202,6.64412e-05,6.64412e-05,6.64412e-05
25,1202.2,1.1205,3.19181,1.19798,0.67837,0.10017,0.1563,0.12226,1.28489,3.49386,1.32819,6.40256e-05,6.40256e-05,6.40256e-05
26,1243.72,1.08797,3.13705,1.19343,0.67394,0.1022,0.16265,0.12584,1.28863,3.47169,1.32926,6.161e-05,6.161e-05,6.161e-05
27,1284.84,1.13462,3.10242,1.224,0.66758,0.10294,0.17278,0.13482,1.29159,3.44657,1.32924,5.91944e-05,5.91944e-05,5.91944e-05
28,1326.02,1.09929,3.03757,1.17799,0.68331,0.12919,0.17618,0.13886,1.28964,3.42139,1.3203,5.67788e-05,5.67788e-05,5.67788e-05
29,1367.38,1.08007,2.87825,1.19641,0.65592,0.1281,0.17186,0.13202,1.29584,3.40616,1.32695,5.43632e-05,5.43632e-05,5.43632e-05
30,1410.22,1.06615,2.9257,1.18485,0.6724,0.12904,0.17222,0.13244,1.29773,3.39581,1.33065,5.19476e-05,5.19476e-05,5.19476e-05
31,1454.1,1.09802,2.85956,1.18097,0.67064,0.13175,0.18156,0.14024,1.2948,3.38822,1.33115,4.9532e-05,4.9532e-05,4.9532e-05
32,1505.58,1.09766,2.8957,1.24265,0.6688,0.13482,0.19159,0.14976,1.28879,3.36621,1.32517,4.71164e-05,4.71164e-05,4.71164e-05
33,1546.47,1.05563,2.84029,1.20218,0.67393,0.15295,0.1961,0.15266,1.28659,3.33966,1.32287,4.47008e-05,4.47008e-05,4.47008e-05
34,1590.79,1.10348,2.83955,1.20538,0.67503,0.15754,0.19951,0.15508,1.29311,3.33437,1.32627,4.22852e-05,4.22852e-05,4.22852e-05
35,1635.27,1.08855,2.75875,1.19078,0.67574,0.15624,0.2002,0.15529,1.29278,3.32604,1.32446,3.98696e-05,3.98696e-05,3.98696e-05
